Date,Open,High,Low,Close,Adj Close,Volume
2017-10-13,81.269997,81.58000200000001,80.650002,81.16999799999999,80.61882800000001,5682900
2017-10-16,81.129997,81.209999,79.550003,79.949997,79.407112,7377600
2017-10-17,80.0,80.709999,79.559998,80.239998,79.695145,7041800
2017-10-18,80.260002,80.839996,79.760002,80.010002,79.466713,7181900
2017-10-19,81.529999,82.470001,80.510002,81.589996,81.03598000000001,15565200
2017-10-20,81.949997,81.949997,80.449997,81.209999,80.658562,9188300
2017-10-23,81.25,81.32,80.089996,80.16999799999999,79.625618,6803400
2017-10-24,80.18,80.379997,78.800003,80.099998,79.556099,7300300
2017-10-25,80.08000200000001,80.08000200000001,78.690002,79.889999,79.347527,9571700
2017-10-26,78.290001,79.5,77.0,77.879997,77.351173,12451300
2017-10-27,75.010002,77.199997,72.760002,77.07,76.546669,22760700
2017-10-30,76.099998,76.93,75.25,75.989998,75.474007,11277000
2017-10-31,75.83000200000001,76.389999,74.720001,74.959999,74.45099599999999,8796600
2017-11-01,74.690002,75.849998,74.220001,74.83000200000001,74.321884,8776400
2017-11-02,74.720001,74.800003,73.550003,73.809998,73.308807,7464400
2017-11-03,73.589996,73.849998,72.83000200000001,73.459999,72.961182,7648600
2017-11-06,73.290001,73.5,72.110001,72.379997,71.88851899999999,8268200
2017-11-07,72.410004,73.339996,72.32,73.209999,72.71288299999999,7824400
2017-11-08,73.32,73.370003,72.720001,73.099998,72.60363000000001,8095400
2017-11-09,73.040001,73.41999799999999,72.620003,73.019997,72.52417,5817800
2017-11-10,72.959999,74.08000200000001,72.199997,73.769997,73.269081,7698200
2017-11-13,73.25,73.389999,72.510002,72.849998,72.355324,8735300
2017-11-14,72.699997,72.720001,70.050003,71.150002,70.66686999999999,10925600
2017-11-15,70.629997,72.099998,70.529999,71.809998,71.322388,8539300
2017-11-16,71.75,72.599998,71.25,72.410004,71.91832,7535900
2017-11-17,72.269997,72.620003,72.120003,72.440002,71.948112,5719100
2017-11-20,72.410004,72.610001,71.550003,72.129997,71.640213,6452500
2017-11-21,72.07,72.839996,71.82,72.510002,72.017639,6473500
2017-11-22,72.480003,73.089996,72.349998,72.82,72.32553100000001,4369000
2017-11-24,72.760002,72.91999799999999,72.230003,72.459999,71.967972,2335900
2017-11-27,72.510002,72.599998,71.519997,71.699997,71.213135,4907500
2017-11-28,72.160004,72.68,71.400002,72.589996,72.097092,5971200
2017-11-29,72.839996,74.199997,72.57,73.66999799999999,73.169762,9913400
2017-11-30,74.489998,75.099998,73.75,74.779999,74.272224,11766900
2017-12-01,74.440002,75.610001,73.5,75.339996,74.828415,8425000
2017-12-04,75.459999,75.58000200000001,72.910004,73.089996,72.59369699999999,8617600
2017-12-05,73.089996,74.029999,72.720001,73.290001,72.792343,8389000
2017-12-06,73.720001,74.349998,72.839996,73.290001,72.792343,6097900
2017-12-07,73.199997,73.25,72.209999,72.720001,72.226212,6172700
2017-12-08,73.400002,74.379997,72.510002,74.220001,73.716026,7906900
2017-12-11,74.599998,76.269997,74.389999,75.879997,75.364754,9179900
2017-12-12,76.050003,76.160004,74.25,76.089996,75.573326,9281600
2017-12-13,76.309998,77.150002,76.269997,76.58000200000001,76.060005,9968800
2017-12-14,76.0,76.470001,74.07,74.339996,74.339996,9055400
2017-12-15,75.0,75.730003,74.099998,75.57,75.57,15367200
2017-12-18,76.029999,76.480003,75.010002,75.129997,75.129997,9986600
2017-12-19,75.059998,75.339996,74.260002,74.349998,74.349998,6737600
2017-12-20,73.529999,74.730003,73.41999799999999,74.010002,74.010002,7349500
2017-12-21,73.730003,74.370003,72.93,73.019997,73.019997,7196100
2017-12-22,72.800003,73.349998,72.370003,72.709999,72.709999,6560200
2017-12-26,72.58000200000001,73.059998,72.309998,72.699997,72.699997,4471400
2017-12-27,72.730003,73.43,72.559998,72.980003,72.980003,3933900
2017-12-28,73.029999,73.16999799999999,72.040001,72.480003,72.480003,4624200
2017-12-29,72.309998,72.75,71.610001,71.639999,71.639999,7370700
